EVENTDATE,ACCOUNT_ID,CAMPAIGN_ID,CAMPAIGN_NAME,ADSET_ID,RULE,RECOMMENDATION,EVENT,REQUEST_ID
2/21/24,7150655894950781,120205208456380410,BudgetTest|20240220|Variant2|Dry Eye Drops,120205208457600410,"{""name"": ""daily_fb_tonic_budget_increase_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 1.3497757847533631, ""budget"": 500}, ""event"": {""adSetId"": ""120205208457600410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""INCREASE_BUDGET""}}","{""name"": ""INCREASE_BUDGET""}","{""adSetId"": ""120205208457600410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205039804830410,AdcopyTest|20240215|Variant2|Detoxification,120205039805800410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.23285643808584114, ""budget"": 1000}, ""event"": {""adSetId"": ""120205039805800410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205039805800410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208449780410,BudgetTest|20240220|Variant1|High Quality Face Cream,120205208450230410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.3619047619047619, ""budget"": 1000}, ""event"": {""adSetId"": ""120205208450230410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208450230410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205035021530410,AdcopyTest|20240215|Variant2|Juice Cleanse,120205035021620410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.3630981746423285, ""budget"": 1000}, ""event"": {""adSetId"": ""120205035021620410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205035021620410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205035015680410,AdcopyTest|20240215|Variant4|Juice Cleanse,120205035015880410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.4356151268549545, ""budget"": 1000}, ""event"": {""adSetId"": ""120205035015880410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205035015880410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208440710410,BudgetTest|20240220|Variant2|Quality Tires for Your Vehicle,120205208441680410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.2037735849056604, ""budget"": 500}, ""event"": {""adSetId"": ""120205208441680410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208441680410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205208449610410,BudgetTest|20240220|Variant2|Hair Volume Enhancing Products,120205208449870410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.9107806691449815, ""budget"": 500}, ""event"": {""adSetId"": ""120205208449870410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205208449870410"", ""budget"": {""budget"": 500, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205039804810410,AdcopyTest|20240215|Variant1|Juice for Kidney Detoxification,120205039804950410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.38878046883997713, ""budget"": 1000}, ""event"": {""adSetId"": ""120205039804950410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205039804950410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205035015660410,AdcopyTest|20240215|Variant4|Detoxification,120205035016270410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.1382716049382716, ""budget"": 1000}, ""event"": {""adSetId"": ""120205035016270410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205035016270410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
2/21/24,7150655894950781,120205039811060410,AdcopyTest|20240215|Variant2|Available Hot Tubs,120205039811720410,"{""name"": ""daily_fb_tonic_budget_decrease_rule"", ""cadence"": ""daily"", ""condition"": {""roas"": 0.5314057826520439, ""budget"": 1000}, ""event"": {""adSetId"": ""120205039811720410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}, ""action"": {""name"": ""DECREASE_BUDGET""}}","{""name"": ""DECREASE_BUDGET""}","{""adSetId"": ""120205039811720410"", ""budget"": {""budget"": 1000, ""budgetType"": ""DAILY""}, ""endTime"": ""2024-02-28T00:00:00-0800""}",cm-autobid-rule-fb-tonic-daily-cron-1708528200
