eventdate,buyer_initials,fb_created,campaign_end_date,campaign_duration,buyer_name,account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,job_type,first_budget,fb_clicks_all,fb_impressions,fb_leads,fb_link_click,fb_spend,rev_clicks,gross_revenue,net_revenue,buy_side_ctr,roas,rpc,buy_side_cpm,cpc,rpp,cpp,contrib,budget_type,status,countries,age_max,age_min,facebook_positions,locales,"network_[""facebook"",""instagram""]","network_[""facebook""]","devices_[""mobile"",""desktop""]","devices_[""mobile""]",budget,pause_campaign,extend_campaign,budget_increase,budget_decrease
2024-01-22,GN,2024-01-18,2024-01-24,6,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425100410,batch_01|TEST_5|20240117|Ad1,120203732421730410,batch_01|TEST_5|20240117|Adset1,120203732421600410,batch_01|TEST_5|20240117|Weight Loss Shots,final,119,15,116,2,10,2.64,4,2.088888888888889,1.88,0.12931,0.7121212121212122,0.1253333333333333,22.75862069,0.176,0.47,0.66,-0.76,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,476.0,False,True,True,False
2024-01-23,GN,2024-01-18,2024-01-24,6,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425100410,batch_01|TEST_5|20240117|Ad1,120203732421730410,batch_01|TEST_5|20240117|Adset1,120203732421600410,batch_01|TEST_5|20240117|Weight Loss Shots,final,119,10,142,5,9,3.769997,3,1.933333333333333,1.74,0.070423,0.4615388288107391,0.174,26.549274648,0.3769997,0.58,1.256665666667,-2.029997,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,476.0,False,True,False,False
2024-01-24,GN,2024-01-18,2024-01-24,6,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425100410,batch_01|TEST_5|20240117|Ad1,120203732421730410,batch_01|TEST_5|20240117|Adset1,120203732421600410,batch_01|TEST_5|20240117|Weight Loss Shots,final,119,7,89,1,8,1.88,3,2.088888888888889,1.88,0.078652,1.0,0.2685714285714285,21.123595506,0.268571428571,0.6266666666666666,0.626666666667,0.0,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,476.0,False,True,False,False
2024-01-18,GN,2024-01-18,2024-02-07,20,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425110410,batch_01|TEST_5|20240117|Ad1,120203732421750410,batch_01|TEST_5|20240117|Adset1,120203732421660410,batch_01|TEST_5|20240117|Remove Wrinkles From Face,final,188,18,82,13,16,1.85,17,5.255555555555556,4.73,0.219512,2.5567567567567564,0.2627777777777778,22.56097561,0.102777777778,0.278235294117647,0.108823529412,2.8799999999999994,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,188.0,False,True,False,False
2024-01-19,GN,2024-01-18,2024-02-07,20,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425110410,batch_01|TEST_5|20240117|Ad1,120203732421750410,batch_01|TEST_5|20240117|Adset1,120203732421660410,batch_01|TEST_5|20240117|Remove Wrinkles From Face,final,188,16,88,5,16,1.74,9,3.322222222222222,2.99,0.181818,1.718390804597701,0.1868749999999999,19.772727273,0.10875,0.3322222222222222,0.193333333333,1.2499999999999998,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,188.0,False,True,False,False
2024-01-20,GN,2024-01-18,2024-02-07,20,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425110410,batch_01|TEST_5|20240117|Ad1,120203732421750410,batch_01|TEST_5|20240117|Adset1,120203732421660410,batch_01|TEST_5|20240117|Remove Wrinkles From Face,final,188,10,95,3,9,1.77,4,1.577777777777778,1.42,0.105263,0.8022598870056497,0.142,18.631578947,0.177,0.355,0.4425,-0.3500000000000001,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,376.0,False,True,True,False
2024-01-21,GN,2024-01-18,2024-02-07,20,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425110410,batch_01|TEST_5|20240117|Ad1,120203732421750410,batch_01|TEST_5|20240117|Adset1,120203732421660410,batch_01|TEST_5|20240117|Remove Wrinkles From Face,final,188,24,133,11,22,2.04,16,6.044444444444444,5.44,0.180451,2.666666666666667,0.2266666666666666,15.338345865,0.085,0.34,0.1275,3.4000000000000004,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,376.0,False,True,False,False
2024-01-22,GN,2024-01-18,2024-02-07,20,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425110410,batch_01|TEST_5|20240117|Ad1,120203732421750410,batch_01|TEST_5|20240117|Adset1,120203732421660410,batch_01|TEST_5|20240117|Remove Wrinkles From Face,final,188,26,189,7,26,2.83,11,2.855555555555555,2.57,0.137566,0.9081272084805652,0.0988461538461538,14.973544974,0.108846153846,0.2336363636363636,0.257272727273,-0.2600000000000002,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,376.0,False,True,False,False
2024-01-23,GN,2024-01-18,2024-02-07,20,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425110410,batch_01|TEST_5|20240117|Ad1,120203732421750410,batch_01|TEST_5|20240117|Adset1,120203732421660410,batch_01|TEST_5|20240117|Remove Wrinkles From Face,final,188,39,283,14,36,3.64,15,5.022222222222222,4.52,0.137809,1.2417582417582416,0.1158974358974358,12.862190813,0.093333333333,0.3013333333333333,0.242666666667,0.8799999999999994,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,376.0,False,True,False,False
2024-01-24,GN,2024-01-18,2024-02-07,20,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732425110410,batch_01|TEST_5|20240117|Ad1,120203732421750410,batch_01|TEST_5|20240117|Adset1,120203732421660410,batch_01|TEST_5|20240117|Remove Wrinkles From Face,final,188,55,332,27,54,5.82,34,8.733333333333333,7.86,0.165663,1.350515463917526,0.1429090909090909,17.530120482,0.105818181818,0.2311764705882353,0.171176470588,2.04,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",False,True,False,True,376.0,False,True,False,False
